24 0.25 0.1 0.0825286295653 0.0684611812023
24 0.75 0.05 0.010541026244 0.0194585786512
24 0.5 0.05 0.0338164127018 0.0617742205988
24 0.25 0.05 0.0869505701562 0.530680100521
24 0.5 0.025 0.0485884172743 0.149817815268
24 0.25 0.0 0.0401795294477 0.807904372885
24 0.99 0.075 0.00771605739097 0.0125516193523
24 0.5 0.1 0.0260855427389 0.0219593555314
24 0.5 0.0 0.0584606410615 0.415729820285
24 0.25 0.025 0.0625533125293 0.693413367256
24 0.0 0.025 0.0259919448904 0.896411711003
24 0.75 0.025 0.0156885430301 0.0388055541354
24 0.0 0.0 0.0143698392347 0.955161309393
24 0.0 0.1 0.0997035767129 0.595758670868
24 0.99 0.05 0.00845753125181 0.0156257860356
24 0.0 0.05 0.0589841737672 0.75976377266
24 0.99 0.1 0.0100107187279 0.0117032874706
24 0.99 0.0 0.00879313241403 0.0312837504989
24 0.25 0.075 0.107347530276 0.325388811719
24 0.0 0.075 0.0725981180495 0.728242525403
24 0.75 0.1 0.0105313401585 0.0116209289447
24 0.75 0.0 0.0240108764223 0.0721230837066
24 0.75 0.075 0.0118330073752 0.0161321798011
24 0.5 0.075 0.029634338976 0.0325788186789
24 0.99 0.025 0.00842112459001 0.019083677642
