12	0.000000	0.000000	1	-0.000000	-0.000000	-0.000000	0.196393	1.010610	0.338161
12	0.100000	0.000000	1	0.000000	0.029901	0.017263	-0.397554	-0.251370	0.000000
12	0.200000	0.000000	1	0.000000	0.061844	0.035707	0.339071	-0.472469	0.000000
12	0.300000	0.000000	1	0.000000	0.095701	0.055261	0.968497	0.581291	-0.000001
12	0.400000	0.000000	1	0.000000	0.131198	0.075770	-0.273012	-0.169584	-0.000000
12	0.500000	0.000000	1	0.000000	0.167887	0.096980	-0.071949	-0.667323	-0.000000
12	0.600000	0.000000	1	0.000000	0.205136	0.118527	0.637598	-0.562413	-0.000000
12	0.700000	0.000000	1	0.000000	0.242174	0.139968	0.024835	-0.394985	-0.000000
12	0.800000	0.000000	1	0.000000	0.278177	0.160825	-0.843708	-0.508539	-0.000000
12	0.900000	0.000000	1	0.000000	0.312384	0.180653	-0.537614	-0.326291	0.000000
12	1.000000	0.000000	1	0.000000	0.344203	0.199104	0.312004	0.195138	0.000000
18	0.000000	0.000000	1	0.000000	0.000000	0.000000	0.302831	-0.285390	-0.102839
18	0.100000	0.000000	1	0.000000	0.029903	0.017264	0.418808	-0.905217	0.000208
18	0.200000	0.000000	1	0.000000	0.061849	0.035710	-0.503339	-1.539227	0.000121
18	0.300000	0.000000	1	0.000000	0.095709	0.055262	1.817771	0.034645	-0.000020
18	0.400000	0.000000	1	0.000000	0.131203	0.075762	1.080381	1.298923	-0.000024
18	0.500000	0.000000	1	0.000000	0.167874	0.096948	0.164482	1.068292	0.000015
18	0.600000	0.000000	1	0.000000	0.205081	0.118450	0.780651	0.349442	-0.000000
18	0.700000	0.000000	1	0.000000	0.242043	0.139817	1.249912	0.553518	-0.000038
18	0.800000	0.000000	1	0.000000	0.277927	0.160568	0.381732	-1.389684	0.000373
18	0.900000	0.000000	1	0.000000	0.311969	0.180260	0.238455	-1.014013	-0.000000
18	1.000000	0.000000	1	0.000000	0.343580	0.198549	1.642112	0.224187	0.000000
24	0.000000	0.000000	1	0.000000	0.000000	0.000000	-0.832663	-1.522749	0.125652
