ALPHA DELTA a0 a1 a2
0.0 0.0 5.5345 -149.0455 1141.2746
0.0 0.1 5.9047 -146.2584 987.3764
0.0 0.2 3.9871 -82.5338 515.9486
0.0 0.3 3.3060 -22.3988 -44.6031
0.0 0.4 2.9910 -22.7899 -103.9241
0.0 0.5 5.8461 -147.7853 1040.7723
0.0 0.6 3.8424 -102.0129 808.4977
0.0 0.7 3.3831 -16.0228 -268.4107
0.0 0.8 8.1075 -190.5558 1254.7190
0.0 0.9 10.0802 -261.1282 1767.2434
0.0 1.0 9.6811 -292.1408 2202.5295
