12	0.000000	-0.180060	-0.000000	0.329948	0.000000	0.435464	-0.000000	0.435464	-0.000000	1.000000	-0.000000	1.000000	-0.000000	0.389879	-0.000000	1.000000	-0.000000	0.000000	0.000000	1.000000	-0.000000	-0.125000	-0.000000	0.217156222474	-0.000000000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.498677850502	-0.000000000000	1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	0.100000	-0.180021	-0.000000	0.329940	0.000290	0.435424	-0.000000	0.435721	-0.000000	0.999980	-0.000000	1.000459	-0.000000	0.389888	0.000594	1.000000	-0.000000	0.000004	0.000066	1.000000	-0.000000	-0.124973	-0.000000	0.217134543886	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498667808818	-0.000000000000	1	0.017263	0.029901	0.000000	-0.000586	-0.001015	-0.000000
12	1.000000	-0.180005	-0.000000	0.328984	0.002625	0.431504	-0.000000	0.434014	-0.000000	0.996764	-0.000000	1.002222	-0.000000	0.390581	0.005274	0.999993	-0.000000	0.000557	0.009021	1.000000	-0.000000	-0.124911	-0.000000	0.214917026220	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.497060268259	-0.000000000000	1	0.199104	0.344203	0.000000	-0.037794	-0.065337	-0.000000
12	0.200000	-0.179989	-0.000000	0.329912	0.000515	0.435297	-0.000000	0.435901	-0.000000	0.999913	-0.000000	1.000903	-0.000000	0.389915	0.001210	1.000000	-0.000000	0.000016	0.000281	1.000000	-0.000000	-0.124948	-0.000000	0.217064751853	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498634211941	-0.000000000000	1	0.035707	0.061844	0.000000	-0.001563	-0.002708	-0.000000
12	0.300000	-0.179965	-0.000000	0.329863	0.000683	0.435072	-0.000000	0.435987	-0.000000	0.999787	-0.000000	1.001319	-0.000000	0.389961	0.001841	0.999999	-0.000000	0.000039	0.000675	1.000000	-0.000000	-0.124928	-0.000000	0.216940953072	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498571502106	-0.000000000000	1	0.055261	0.095701	0.000000	-0.003134	-0.005428	0.000000
12	0.400000	-0.179950	-0.000000	0.329792	0.000820	0.434744	-0.000000	0.435963	-0.000000	0.999592	-0.000000	1.001690	-0.000000	0.390025	0.002474	0.999999	-0.000000	0.000074	0.001272	1.000000	-0.000000	-0.124911	-0.000000	0.216760316923	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498474064543	-0.000000000000	1	0.075770	0.131198	0.000000	-0.005517	-0.009553	-0.000000
12	0.500000	-0.179942	-0.000000	0.329698	0.000965	0.434319	-0.000000	0.435825	-0.000000	0.999318	-0.000000	1.001999	-0.000000	0.390106	0.003087	0.999998	-0.000000	0.000122	0.002091	1.000000	-0.000000	-0.124899	-0.000000	0.216524842224	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498337017149	-0.000000000000	1	0.096980	0.167887	0.000000	-0.008897	-0.015403	-0.000000
12	0.600000	-0.179942	-0.000000	0.329584	0.001165	0.433812	-0.000000	0.435578	-0.000000	0.998959	-0.000000	1.002231	-0.000000	0.390197	0.003657	0.999998	-0.000000	0.000185	0.003136	1.000000	-0.000000	-0.124891	-0.000000	0.216242370667	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.498157278867	-0.000000000000	1	0.118527	0.205136	0.000000	-0.013359	-0.023120	0.000000
12	0.700000	-0.179950	-0.000000	0.329451	0.001443	0.433250	-0.000000	0.435244	-0.000000	0.998513	-0.000000	1.002371	-0.000000	0.390295	0.004164	0.999997	-0.000000	0.000262	0.004392	1.000000	-0.000000	-0.124889	-0.000000	0.215925875904	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.497934671469	-0.000000000000	1	0.139968	0.242174	0.000000	-0.018815	-0.032554	-0.000000
12	0.800000	-0.179963	-0.000000	0.329304	0.001796	0.432662	-0.000000	0.434852	0.000000	0.997989	-0.000000	1.002414	-0.000000	0.390394	0.004598	0.999995	-0.000000	0.000352	0.005825	1.000000	-0.000000	-0.124891	-0.000000	0.215590738248	-0.000000000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.497672620397	-0.000000000000	1	0.160825	0.278177	0.000000	-0.024988	-0.043222	-0.000000
