ALPHA DELTA a0 a1 a2
0 0 0.0000 -0.0000 0.0000
0 0.1 0.0147 0.0209 -0.0463
0 0.2 0.0297 0.0425 -0.0984
0 0.3 0.0447 0.0647 -0.1554
0 0.4 0.0590 0.0869 -0.2128
0 0.5 0.0719 0.1089 -0.2678
0 0.6 0.0831 0.1304 -0.3170
0 0.7 0.0922 0.1509 -0.3585
0 0.8 0.0993 0.1700 -0.3886
0 0.9 0.1048 0.1876 -0.4120
0 1 0.1094 0.2033 -0.4270
