ALPHA DELTA a0 a1 a2
0 0 0.0000 -0.0000 0.0000
0 0.1 0.0026 -0.0209 0.0461
0 0.2 0.0060 -0.0425 0.0976
0 0.3 0.0106 -0.0647 0.1544
0 0.4 0.0168 -0.0869 0.2128
0 0.5 0.0250 -0.1089 0.2711
0 0.6 0.0353 -0.1303 0.3280
0 0.7 0.0475 -0.1509 0.3825
0 0.8 0.0611 -0.1699 0.4327
0 0.9 0.0751 -0.1874 0.4828
0 1 0.0887 -0.2031 0.5314
